호기,일자,발전총량(MW),발전최대,발전최소,대기시간,가동시간,유량,산소,측정온도,온도,습도,풍속,NOX,가동시간_multi_hot
5,2023-01-10,19317000.0,810908.0,789752.0,0.0,24.0,206726.11,5.84,93.53,-2.07,91.64,1.38,9.95,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-10,19464000.0,817039.0,792987.0,0.0,24.0,202265.9,5.1,91.07,-2.07,91.64,1.38,9.69,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-11,19170066.0,816194.0,677791.0,0.0,24.0,209342.96,4.47,87.61,-0.77,86.72,1.38,12.35,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-11,0.0,0.0,0.0,24.0,0.0,44.58,20.84,2.52,-0.77,86.72,1.38,55.99,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-11,19093000.0,815043.0,722304.0,0.0,24.0,207114.61,5.77,93.66,-0.77,86.72,1.38,9.04,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-11,19241000.0,818230.0,722408.0,0.0,24.0,200604.12,5.09,90.56,-0.77,86.72,1.38,9.84,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-12,19690157.0,839886.0,809933.0,0.0,24.0,213597.21,4.44,88.29,5.16,84.61,0.69,12.49,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-12,0.0,0.0,0.0,24.0,0.0,47.74,20.87,4.45,5.16,84.61,0.69,82.21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-12,19342000.0,841338.0,768274.0,0.0,24.0,209813.7,5.56,93.16,5.16,84.61,0.69,9.27,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-12,19551000.0,854426.0,783261.0,0.0,24.0,203967.64,5.07,90.85,5.16,84.61,0.69,10.02,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-13,18519952.0,827514.0,674082.0,0.0,24.0,207660.84,4.52,87.73,5.81,99.01,2.16,12.28,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-13,0.0,0.0,0.0,24.0,0.0,119.48,20.81,6.45,5.81,99.01,2.16,58.77,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-13,19059000.0,807183.0,743348.0,0.0,24.0,209750.64,5.41,93.9,5.81,99.01,2.16,9.51,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-13,19211000.0,814721.0,747808.0,0.0,24.0,203494.01,5.12,91.27,5.81,99.01,2.16,9.88,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-14,19499320.0,819526.0,795814.0,0.0,24.0,216316.67,4.41,87.67,3.31,99.02,1.97,12.22,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-14,0.0,0.0,0.0,24.0,0.0,146.72,20.8,4.91,3.31,99.02,1.97,49.78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-14,19287000.0,808442.0,795123.0,0.0,24.0,211141.2,5.47,94.46,3.31,99.02,1.97,9.63,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-14,19485000.0,817001.0,803631.0,0.0,24.0,205889.73,4.89,90.93,3.31,99.02,1.97,10.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-15,19010683.0,813514.0,679340.0,0.0,24.0,209562.49,4.47,85.42,-3.1,78.42,2.15,12.56,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-15,0.0,0.0,0.0,24.0,0.0,195.83,20.84,0.69,-3.1,78.42,2.15,56.1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-15,19017000.0,809219.0,723037.0,0.0,24.0,208520.53,5.45,91.71,-3.1,78.42,2.15,9.77,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
